id;nome;sobre_nome;email;curso_pretendido
1;because;councilman heavily barring;Jarrett_Auer74@gmail.com;worriedly hovel
2;nor;huzzah scarper;Hortense.Kohler66@gmail.com;nun excitedly um
3;till hmph;angrily that scale;Amiya45@yahoo.com;mechanically
4;save as amidst;since;Rickey.Flatley88@hotmail.com;upon uneven
5;perspire once;busy accelerator consequently;Reagan_Stroman@gmail.com;robust seemingly
6;er;while;Gilbert.OKon@yahoo.com;because excluding snarling
7;now after;heartfelt sympathetically pfft;Elwin.Hoppe73@gmail.com;suspension duh
8;yowza amongst;cruelly;Brooke_Kozey36@gmail.com;athwart downshift tribe
9;chatter;drat yawningly ugh;Isabelle93@yahoo.com;alienated out
10;where fine;sans;Kip.Schiller35@yahoo.com;tasty
